date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-06-07,3.78,3.8,3.78,3.77,842258.62,0.01,0.27,3.778,3.79,3.829,855203.05,952328.65,952618.25
2018-06-06,3.79,3.79,3.77,3.76,717986.31,-0.02,-0.53,3.778,3.792,3.834,987342.87,953640.29,940951.49
2018-06-05,3.79,3.8,3.79,3.77,654141.81,0.0,0.0,3.776,3.799,3.839,1026714.59,971915.09,940423.96
2018-06-04,3.77,3.8,3.79,3.76,926072.75,0.03,0.8,3.782,3.808,3.843,1142454.08,1017450.39,993230.44
2018-06-01,3.76,3.78,3.76,3.74,1135555.75,-0.01,-0.27,3.788,3.82,3.844,1105224.68,1015895.51,993848.93
2018-05-31,3.78,3.78,3.78,3.75,1502957.75,0.02,0.53,3.802,3.833,3.846,1049454.25,999285.41,973344.82
2018-05-30,3.8,3.8,3.76,3.76,914844.88,-0.07,-1.83,3.806,3.839,3.848,919937.71,909364.89,953215.33
2018-05-29,3.8,3.84,3.82,3.76,1232839.25,0.0,0.0,3.822,3.848,3.851,917115.6,898773.91,983319.71
2018-05-28,3.81,3.83,3.82,3.78,739925.75,0.0,0.0,3.834,3.855,3.851,892446.7,854621.36,963850.39
2018-05-25,3.81,3.83,3.83,3.8,856703.62,0.02,0.53,3.852,3.862,3.849,926566.35,928328.08,988918.56
2018-05-24,3.84,3.85,3.8,3.8,855375.06,-0.04,-1.04,3.864,3.868,3.848,949116.57,952907.84,991710.36
2018-05-23,3.87,3.87,3.84,3.84,900734.31,-0.04,-1.03,3.872,3.876,3.849,898792.06,928262.68,1036705.56
2018-05-22,3.91,3.91,3.88,3.85,1109494.75,-0.03,-0.77,3.874,3.879,3.847,880432.22,908932.83,1035777.76
2018-05-21,3.91,3.93,3.91,3.89,910524.0,0.01,0.26,3.876,3.877,3.842,816796.01,969010.49,1048092.81
2018-05-18,3.85,3.9,3.89,3.84,969454.75,0.04,1.04,3.872,3.868,3.835,930089.81,971802.34,1059729.52
2018-05-17,3.85,3.86,3.84,3.84,603752.5,-0.01,-0.26,3.872,3.859,3.83,956699.11,947404.23,1086192.81
2018-05-16,3.88,3.88,3.85,3.85,808935.12,-0.04,-1.03,3.88,3.856,3.826,957733.3,997065.78,1117677.33
2018-05-15,3.91,3.91,3.89,3.87,791313.69,-0.01,-0.26,3.884,3.853,3.822,937433.44,1067865.51,1213663.59
2018-05-14,3.9,3.93,3.89,3.88,1476993.0,-0.01,-0.26,3.878,3.846,3.821,1121224.98,1073079.43,1260489.13
2018-05-11,3.89,3.92,3.89,3.87,1102501.25,0.01,0.26,3.864,3.836,3.822,1013514.88,1049509.03,1273565.99
2018-05-10,3.88,3.9,3.88,3.86,608923.44,0.0,0.0,3.846,3.827,3.826,938109.34,1030512.88,1400812.97
2018-05-09,3.87,3.88,3.87,3.85,707435.81,0.0,0.0,3.832,3.822,3.828,1036398.25,1145148.43,1473753.17
2018-05-08,3.83,3.89,3.86,3.82,1710271.38,0.03,0.78,3.822,3.814,3.827,1198297.59,1162622.69,1509103.28
2018-05-07,3.81,3.84,3.82,3.79,938442.5,0.02,0.53,3.814,3.806,3.827,1024933.89,1127175.13,1491572.38
2018-05-04,3.81,3.82,3.8,3.8,725473.56,-0.02,-0.52,3.808,3.802,3.829,1085503.19,1147656.69,1527937.53
2018-05-03,3.8,3.83,3.81,3.79,1100368.0,0.0,0.0,3.808,3.801,3.833,1122916.41,1224981.39,1612040.15
2018-05-02,3.83,3.85,3.82,3.79,1516932.5,0.0,0.0,3.812,3.796,3.839,1253898.61,1238288.88,1714277.19
2018-04-27,3.8,3.82,3.82,3.77,843452.88,0.03,0.79,3.806,3.791,3.847,1126947.79,1359461.66,1770778.46
2018-04-26,3.81,3.81,3.79,3.76,1241289.0,-0.01,-0.26,3.798,3.796,3.854,1229416.36,1447898.83,1824043.14
2018-04-25,3.82,3.83,3.8,3.79,912539.69,-0.04,-1.04,3.796,3.808,3.862,1209810.19,1497622.96,1910066.41
2018-04-24,3.78,3.86,3.83,3.78,1755279.0,0.05,1.32,3.794,3.824,3.872,1327046.37,1771113.06,1975042.65
2018-04-23,3.76,3.8,3.79,3.76,882178.38,0.01,0.27,3.78,3.834,3.886,1222679.15,1802357.91,2068370.91
2018-04-20,3.78,3.79,3.78,3.74,1355795.75,-0.01,-0.26,3.776,3.84,3.905,1591975.52,1855583.87,2085795.62
2018-04-19,3.78,3.81,3.78,3.77,1143258.12,0.0,0.0,3.794,3.847,3.925,1666381.3,1855969.64,2078349.52
2018-04-18,3.81,3.81,3.79,3.76,1498720.62,0.03,0.8,3.82,3.855,3.944,1785435.72,1908218.36,2074511.05
2018-04-17,3.77,3.8,3.76,3.75,1233442.88,-0.01,-0.27,3.854,3.865,3.962,2215179.75,1999098.9,2033781.46
2018-04-16,3.85,3.86,3.77,3.76,2728660.25,-0.1,-2.58,3.888,3.881,3.98,2382036.67,2190265.49,2034703.97
2018-04-13,3.95,3.95,3.87,3.86,1727824.62,-0.04,-1.02,3.904,3.903,4.0,2119192.22,2182095.26,1955040.64
2018-04-12,3.95,3.96,3.91,3.9,1738530.25,-0.06,-1.51,3.9,3.911,4.015,2045557.98,2200187.44,1928742.38
2018-04-11,3.93,4.01,3.96,3.9,3647440.75,0.03,0.76,3.89,3.916,4.029,2031001.0,2322509.86,1933453.52
2018-04-10,3.85,3.94,3.93,3.83,2067727.5,0.08,2.08,3.876,3.919,4.04,1783018.05,2178972.24,1850644.21
2018-04-09,3.84,3.86,3.85,3.82,1414438.0,0.0,0.0,3.874,3.938,4.053,1998494.3,2334383.91,1813825.82
2018-04-04,3.87,3.89,3.85,3.85,1359653.38,-0.03,-0.77,3.902,3.97,4.07,2244998.3,2316007.36,1797135.41
2018-04-03,3.85,3.89,3.86,3.83,1665745.38,-0.02,-0.52,3.922,4.002,4.088,2354816.9,2300729.4,1836615.16
2018-04-02,3.93,3.94,3.89,3.87,2407526.0,-0.04,-1.02,3.942,4.033,4.105,2614018.73,2240803.74,1846744.27
2018-03-30,3.99,3.99,3.92,3.91,3145108.75,-0.07,-1.75,3.962,4.058,4.119,2574926.43,2068464.03,1799535.03
2018-03-29,3.96,4.02,3.99,3.91,2646958.0,0.03,0.76,4.002,4.079,4.131,2670273.53,1879142.45,1732431.31
2018-03-28,3.93,4.0,3.95,3.93,1908746.38,-0.02,-0.5,4.038,4.097,4.143,2387016.43,1727986.03,1680483.5
2018-03-27,4.03,4.04,3.96,3.93,2961754.5,-0.03,-0.75,4.082,4.118,4.157,2246641.9,1657297.33,1677617.31
2018-03-26,4.08,4.09,3.99,3.96,2212064.5,-0.13,-3.15,4.124,4.142,4.175,1867588.75,1544397.18,1654297.47
2018-03-23,4.11,4.13,4.12,4.03,3621844.25,-0.05,-1.2,4.154,4.16,4.196,1562001.63,1522316.19,1657303.61
2018-03-22,4.16,4.18,4.17,4.13,1230672.5,0.0,0.0,4.156,4.167,4.209,1088011.38,1293267.73,1549374.76
2018-03-21,4.17,4.19,4.17,4.16,1206873.75,0.0,0.0,4.156,4.17,4.219,1068955.63,1278263.46,1577347.46
2018-03-20,4.12,4.18,4.17,4.11,1066488.75,0.04,0.97,4.154,4.174,4.225,1067952.75,1372500.91,1584506.17
2018-03-19,4.13,4.14,4.14,4.12,684128.88,0.01,0.24,4.16,4.176,4.23,1221205.6,1452684.8,1661493.25
